,Stock Symbol,Cluster
0,MMM,2
1,ABT,1
2,ABBV,4
3,ACN,1
4,ATVI,4
5,AYI,0
6,ADBE,4
7,AMD,1
8,AAP,4
9,AES,2
10,AET,2
11,AMG,3
12,AFL,1
13,A,1
14,APD,2
15,AKAM,4
16,ALK,0
17,ALB,5
18,ARE,2
19,ALXN,2
20,ALGN,4
21,ALLE,1
22,AGN,2
23,ADS,0
24,LNT,3
25,ALL,3
26,GOOGL,1
27,GOOG,1
28,MO,0
29,AMZN,6
30,AEE,3
31,AAL,1
32,AEP,3
33,AXP,3
34,AIG,3
35,AMT,2
36,AWK,3
37,AMP,3
38,ABC,1
39,AME,1
40,AMGN,1
41,APH,1
42,APC,1
43,ADI,1
44,ANDV,0
45,ANSS,4
46,ANTM,2
47,AON,4
48,AOS,1
49,APA,5
50,AIV,3
51,AAPL,1
52,AMAT,4
53,APTV,1
54,ADM,1
55,ARNC,0
56,AJG,4
57,AIZ,0
58,T,3
59,ADSK,6
60,ADP,2
61,AZO,0
62,AVB,3
63,AVY,2
64,BHGE,3
65,BLL,1
66,BAC,1
67,BK,2
68,BAX,2
69,BBT,1
70,BDX,1
71,BRK.B,1
72,BBY,2
73,BIIB,0
74,BLK,4
75,HRB,2
76,BA,4
77,BKNG,6
78,BWA,2
79,BXP,2
80,BSX,4
81,BHF,3
82,BMY,1
83,AVGO,2
84,BF.B,2
85,CHRW,2
86,CA,1
87,COG,0
88,CDNS,3
89,CPB,3
90,COF,2
91,CAH,4
92,CBOE,2
93,KMX,2
94,CCL,2
95,CAT,2
96,CBG,1
97,CBS,0
98,CELG,0
99,CNC,2
100,CNP,2
101,CTL,2
102,CERN,0
103,CF,3
104,SCHW,1
105,CHTR,2
106,CHK,5
107,CVX,0
108,CMG,4
109,CB,2
110,CHD,2
111,CI,0
112,XEC,5
113,CINF,2
114,CTAS,4
115,CSCO,4
116,C,2
117,CFG,1
118,CTXS,1
119,CLX,0
120,CME,4
121,CMS,3
122,KO,3
123,CTSH,4
124,CL,3
125,CMCSA,0
126,CMA,4
127,CAG,2
128,CXO,2
129,COP,2
130,ED,3
131,STZ,2
132,COO,1
133,GLW,3
134,COST,2
135,COTY,2
136,CCI,1
137,CSRA,6
138,CSX,2
139,CMI,0
140,CVS,3
141,DHI,0
142,DHR,4
143,DRI,2
144,DVA,2
145,DE,2
146,DAL,2
147,XRAY,0
148,DVN,5
149,DLR,3
150,DFS,2
151,DISCA,1
152,DISCK,1
153,DISH,5
154,DG,3
155,DLTR,0
156,D,3
157,DOV,2
158,DWDP,3
159,DPS,6
160,DTE,3
161,DRE,3
162,DUK,3
163,DXC,4
164,ETFC,4
165,EMN,4
166,ETN,2
167,EBAY,4
168,ECL,2
169,EIX,2
170,EW,6
171,EA,4
172,EMR,2
173,ETR,3
174,EVHC,4
175,EOG,3
176,EQT,0
177,EFX,1
178,EQIX,3
179,EQR,3
180,ESS,2
181,EL,4
182,ES,0
183,RE,4
184,EXC,3
185,EXPE,3
186,EXPD,2
187,ESRX,1
188,EXR,2
189,XOM,0
190,FFIV,4
191,FB,2
192,FAST,1
193,FRT,0
194,FDX,3
